PDS4 LID	PDS <Target_Identification> name	Other/provisional names	PDS <type> attribute	COMA objecttype
coma.68p	68P/1965 U1 (Klemola 1)	1987 XIV, 1987i, 68P/1976 P1, 1976 X, 1976j, 1965 VI, 1965j	Comet	
coma.69p	69P/1915 W1-B (Taylor 1)	1990 XXX, 1990n, 1984 II, 1983u, 69P/1976 X1, 1977 II, 1977a, 1916 I, 69P/1915 W1, 1915e	Comet	
coma.70p	70P/1970 Y1 (Kojima 1)	1994 VI, 1992z, 1986 VII, 1985o, 70P/1977 X1, 1978 X, 1977r, 1970 XII, 1970r	Comet	
coma.71p	71P/1973 L1 (Clark 1)	1994t, 1989 XX, 1989h, 1984 VIII, 1983w, 71P/1978 G1, 1978 XXIII, 1978g, 1973 V, 1973i	Comet	
coma.72p	72P/1881 T1 (Denning-Fujikawa 1)	72P/1978 T2, 1978 XIX, 1978n, 1881 V, 1881f	Comet	
coma.73p	73P/1930 J1 (Schwassmann-Wachmann 3)	1994w, 1990 VIII, 1989d1, 73P/1979 P1, 1979 VIII, 1979g, 1930 VI, 1930d	Comet	
coma.73p--a	73P/1930 J1-A (Schwassmann-Wachmann 3-A)		Comet	
coma.73p--b	73P/1930 J1-B (Schwassmann-Wachmann 3-B)		Comet	
coma.73p--c	73P/1930 J1-C (Schwassmann-Wachmann 3-C)		Comet	
coma.73p--e	73P/1930 J1-E (Schwassmann-Wachmann 3-E)		Comet	
coma.73p--g	73P/1930 J1-G (Schwassmann-Wachmann 3-G)		Comet	
coma.73p--h	73P/1930 J1-H (Schwassmann-Wachmann 3-H)		Comet	
coma.73p--j	73P/1930 J1-J (Schwassmann-Wachmann 3-J)		Comet	
coma.73p--k	73P/1930 J1-K (Schwassmann-Wachmann 3-K)		Comet	
coma.73p--l	73P/1930 J1-L (Schwassmann-Wachmann 3-L)		Comet	
coma.73p--m	73P/1930 J1-M (Schwassmann-Wachmann 3-M)		Comet	
coma.73p--n	73P/1930 J1-N (Schwassmann-Wachmann 3-N)		Comet	
coma.73p--p	73P/1930 J1-P (Schwassmann-Wachmann 3-P)		Comet	
coma.73p--q	73P/1930 J1-Q (Schwassmann-Wachmann 3-Q)		Comet	
coma.73p--r	73P/1930 J1-R (Schwassmann-Wachmann 3-R)		Comet	
coma.73p--s	73P/1930 J1-S (Schwassmann-Wachmann 3-S)		Comet	
coma.73p--t	73P/1930 J1-T (Schwassmann-Wachmann 3-T)		Comet	
coma.73p--u	73P/1930 J1-U (Schwassmann-Wachmann 3-U)		Comet	
coma.73p--v	73P/1930 J1-V (Schwassmann-Wachmann 3-V)		Comet	
coma.73p--w	73P/1930 J1-W (Schwassmann-Wachmann 3-W)		Comet	
coma.73p--x	73P/1930 J1-X (Schwassmann-Wachmann 3-X)		Comet	
coma.73p--y	73P/1930 J1-Y (Schwassmann-Wachmann 3-Y)		Comet	
coma.73p--z	73P/1930 J1-Z (Schwassmann-Wachmann 3-Z)		Comet	
coma.73p--aa	73P/1930 J1-AA (Schwassmann-Wachmann 3-AA)		Comet	
coma.73p--ab	73P/1930 J1-AB (Schwassmann-Wachmann 3-AB)		Comet	
coma.73p--ac	73P/1930 J1-AC (Schwassmann-Wachmann 3-AC)		Comet	
coma.73p--ad	73P/1930 J1-AD (Schwassmann-Wachmann 3-AD)		Comet	
coma.73p--ae	73P/1930 J1-AE (Schwassmann-Wachmann 3-AE)		Comet	
coma.73p--af	73P/1930 J1-AF (Schwassmann-Wachmann 3-AF)		Comet	
coma.73p--ag	73P/1930 J1-AG (Schwassmann-Wachmann 3-AG)		Comet	
coma.73p--ah	73P/1930 J1-AH (Schwassmann-Wachmann 3-AH)		Comet	
coma.73p--ai	73P/1930 J1-AI (Schwassmann-Wachmann 3-AI)		Comet	
coma.73p--aj	73P/1930 J1-AJ (Schwassmann-Wachmann 3-AJ)		Comet	
coma.73p--ak	73P/1930 J1-AK (Schwassmann-Wachmann 3-AK)		Comet	
coma.73p--al	73P/1930 J1-AL (Schwassmann-Wachmann 3-AL)		Comet	
coma.73p--am	73P/1930 J1-AM (Schwassmann-Wachmann 3-AM)		Comet	
coma.73p--an	73P/1930 J1-AN (Schwassmann-Wachmann 3-AN)		Comet	
coma.73p--ao	73P/1930 J1-AO (Schwassmann-Wachmann 3-AO)		Comet	
coma.73p--ap	73P/1930 J1-AP (Schwassmann-Wachmann 3-AP)		Comet	
coma.73p--aq	73P/1930 J1-AQ (Schwassmann-Wachmann 3-AQ)		Comet	
coma.73p--ar	73P/1930 J1-AR (Schwassmann-Wachmann 3-AR)		Comet	
coma.73p--as	73P/1930 J1-AS (Schwassmann-Wachmann 3-AS)		Comet	
coma.73p--at	73P/1930 J1-AT (Schwassmann-Wachmann 3-AT)		Comet	
coma.73p--au	73P/1930 J1-AU (Schwassmann-Wachmann 3-AU)		Comet	
coma.73p--av	73P/1930 J1-AV (Schwassmann-Wachmann 3-AV)		Comet	
coma.73p--aw	73P/1930 J1-AW (Schwassmann-Wachmann 3-AW)		Comet	
coma.73p--ax	73P/1930 J1-AX (Schwassmann-Wachmann 3-AX)		Comet	
coma.73p--ay	73P/1930 J1-AY (Schwassmann-Wachmann 3-AY)		Comet	
coma.73p--az	73P/1930 J1-AZ (Schwassmann-Wachmann 3-AZ)		Comet	
coma.73p--ba	73P/1930 J1-BA (Schwassmann-Wachmann 3-BA)		Comet	
coma.73p--bb	73P/1930 J1-BB (Schwassmann-Wachmann 3-BB)		Comet	
coma.73p--bc	73P/1930 J1-BC (Schwassmann-Wachmann 3-BC)		Comet	
coma.73p--bd	73P/1930 J1-BD (Schwassmann-Wachmann 3-BD)		Comet	
coma.73p--be	73P/1930 J1-BE (Schwassmann-Wachmann 3-BE)		Comet	
coma.73p--bf	73P/1930 J1-BF (Schwassmann-Wachmann 3-BF)		Comet	
coma.73p--bg	73P/1930 J1-BG (Schwassmann-Wachmann 3-BG)		Comet	
coma.73p--bh	73P/1930 J1-BH (Schwassmann-Wachmann 3-BH)		Comet	
coma.73p--bi	73P/1930 J1-BI (Schwassmann-Wachmann 3-BI)		Comet	
coma.73p--bj	73P/1930 J1-BJ (Schwassmann-Wachmann 3-BJ)		Comet	
coma.73p--bk	73P/1930 J1-BK (Schwassmann-Wachmann 3-BK)		Comet	
coma.73p--bl	73P/1930 J1-BL (Schwassmann-Wachmann 3-BL)		Comet	
coma.73p--bm	73P/1930 J1-BM (Schwassmann-Wachmann 3-BM)		Comet	
coma.73p--bn	73P/1930 J1-BN (Schwassmann-Wachmann 3-BN)		Comet	
coma.73p--bo	73P/1930 J1-BO (Schwassmann-Wachmann 3-BO)		Comet	
coma.73p--bp	73P/1930 J1-BP (Schwassmann-Wachmann 3-BP)		Comet	
coma.73p--bq	73P/1930 J1-BQ (Schwassmann-Wachmann 3-BQ)		Comet	
coma.73p--br	73P/1930 J1-BR (Schwassmann-Wachmann 3-BR)		Comet	
